Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.565,0.294,1.548,0.321
2,1.521,0.352,1.543,0.324
3,1.511,0.365,1.539,0.329
4,1.504,0.378,1.541,0.33
5,1.499,0.382,1.537,0.331
6,1.495,0.388,1.539,0.332
7,1.489,0.393,1.535,0.333
8,1.482,0.403,1.532,0.34
9,1.476,0.41,1.526,0.348
10,1.471,0.416,1.524,0.352
11,1.464,0.424,1.523,0.354
12,1.458,0.432,1.523,0.351
13,1.452,0.439,1.517,0.361
14,1.446,0.446,1.523,0.353
15,1.44,0.455,1.514,0.37
16,1.435,0.459,1.514,0.367
17,1.429,0.468,1.509,0.376
18,1.423,0.473,1.507,0.377
19,1.419,0.477,1.503,0.381
20,1.415,0.484,1.503,0.384
