Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.525,0.354,1.486,0.405
2,1.467,0.42,1.465,0.425
3,1.442,0.449,1.447,0.444
4,1.419,0.474,1.432,0.456
5,1.403,0.491,1.429,0.458
6,1.389,0.509,1.42,0.47
7,1.38,0.518,1.417,0.473
8,1.37,0.528,1.414,0.477
9,1.361,0.54,1.417,0.471
10,1.352,0.549,1.397,0.496
11,1.342,0.559,1.386,0.508
12,1.332,0.57,1.382,0.51
13,1.325,0.577,1.383,0.513
14,1.317,0.587,1.379,0.516
15,1.312,0.592,1.376,0.522
16,1.307,0.598,1.368,0.53
17,1.3,0.606,1.362,0.537
18,1.296,0.61,1.365,0.531
19,1.291,0.615,1.359,0.541
20,1.286,0.621,1.359,0.54
