Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.527,0.34,1.382,0.516
2,1.329,0.573,1.321,0.573
3,1.294,0.604,1.303,0.596
4,1.281,0.618,1.307,0.591
5,1.276,0.623,1.294,0.604
6,1.27,0.629,1.291,0.605
7,1.267,0.634,1.285,0.611
8,1.26,0.641,1.285,0.616
9,1.259,0.641,1.281,0.613
10,1.256,0.645,1.282,0.612
11,1.255,0.644,1.297,0.591
12,1.253,0.647,1.284,0.609
13,1.251,0.65,1.305,0.584
14,1.249,0.652,1.284,0.611
15,1.249,0.654,1.275,0.621
16,1.247,0.654,1.274,0.624
17,1.246,0.655,1.274,0.623
18,1.246,0.654,1.276,0.623
19,1.244,0.656,1.276,0.622
20,1.242,0.659,1.279,0.616
