Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.398,0.5,1.267,0.641
2,1.238,0.67,1.279,0.613
3,1.22,0.688,1.227,0.678
4,1.21,0.695,1.231,0.672
5,1.206,0.698,1.217,0.686
6,1.203,0.703,1.217,0.685
7,1.2,0.705,1.214,0.691
8,1.197,0.709,1.212,0.689
9,1.195,0.709,1.209,0.69
10,1.194,0.71,1.213,0.688
11,1.192,0.713,1.215,0.687
12,1.19,0.714,1.222,0.68
13,1.188,0.717,1.211,0.693
14,1.186,0.72,1.208,0.692
15,1.187,0.718,1.21,0.692
16,1.186,0.719,1.206,0.693
17,1.184,0.721,1.209,0.692
18,1.184,0.721,1.207,0.694
19,1.182,0.724,1.209,0.693
20,1.182,0.722,1.202,0.702
