Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.28,0.622,1.254,0.645
2,1.221,0.679,1.237,0.666
3,1.207,0.694,1.227,0.672
4,1.198,0.704,1.247,0.65
5,1.189,0.712,1.22,0.682
6,1.183,0.718,1.228,0.671
7,1.176,0.726,1.222,0.679
8,1.171,0.732,1.217,0.681
9,1.166,0.736,1.217,0.685
10,1.164,0.739,1.207,0.695
11,1.157,0.747,1.212,0.688
12,1.156,0.748,1.207,0.694
13,1.149,0.754,1.203,0.696
14,1.146,0.759,1.203,0.699
15,1.144,0.76,1.206,0.695
16,1.141,0.764,1.199,0.7
17,1.139,0.766,1.2,0.704
18,1.135,0.77,1.202,0.699
19,1.134,0.771,1.206,0.694
20,1.131,0.775,1.206,0.694
