Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.228,0.678,1.189,0.715
2,1.167,0.737,1.178,0.72
3,1.155,0.749,1.168,0.733
4,1.145,0.758,1.17,0.73
5,1.138,0.765,1.16,0.741
6,1.133,0.771,1.162,0.738
7,1.127,0.776,1.167,0.733
8,1.119,0.784,1.159,0.744
9,1.114,0.791,1.154,0.745
10,1.112,0.792,1.159,0.745
11,1.108,0.796,1.164,0.738
12,1.106,0.797,1.155,0.75
13,1.106,0.798,1.144,0.758
14,1.101,0.804,1.159,0.743
15,1.099,0.806,1.15,0.751
16,1.097,0.808,1.156,0.745
17,1.096,0.809,1.144,0.757
18,1.094,0.81,1.153,0.747
19,1.091,0.813,1.154,0.748
20,1.089,0.816,1.142,0.761
