Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.462,0.417,1.338,0.57
2,1.301,0.601,1.307,0.595
3,1.284,0.615,1.297,0.602
4,1.276,0.622,1.293,0.609
5,1.272,0.624,1.295,0.6
6,1.269,0.629,1.289,0.605
7,1.262,0.636,1.293,0.6
8,1.262,0.637,1.293,0.6
9,1.26,0.638,1.291,0.604
10,1.256,0.643,1.296,0.599
11,1.254,0.646,1.284,0.61
12,1.253,0.646,1.288,0.609
13,1.253,0.645,1.288,0.61
14,1.25,0.649,1.289,0.606
15,1.25,0.651,1.285,0.615
16,1.248,0.652,1.282,0.617
17,1.245,0.654,1.287,0.608
18,1.244,0.656,1.292,0.605
19,1.243,0.657,1.289,0.6
20,1.241,0.658,1.277,0.622
