Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.234,0.673,1.199,0.708
2,1.165,0.741,1.181,0.719
3,1.149,0.756,1.171,0.729
4,1.135,0.77,1.171,0.732
5,1.125,0.78,1.156,0.748
6,1.12,0.785,1.161,0.737
7,1.113,0.792,1.161,0.738
8,1.108,0.798,1.152,0.748
9,1.104,0.802,1.149,0.754
10,1.101,0.805,1.146,0.755
11,1.097,0.81,1.15,0.75
12,1.096,0.811,1.138,0.765
13,1.093,0.814,1.152,0.751
14,1.09,0.817,1.146,0.756
15,1.088,0.818,1.144,0.758
16,1.087,0.82,1.15,0.75
17,1.085,0.821,1.141,0.762
18,1.083,0.824,1.151,0.751
19,1.082,0.824,1.151,0.751
20,1.079,0.827,1.152,0.75
