Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.283,0.622,1.257,0.644
2,1.217,0.687,1.234,0.669
3,1.202,0.702,1.239,0.661
4,1.194,0.709,1.235,0.662
5,1.185,0.719,1.234,0.662
6,1.18,0.724,1.226,0.673
7,1.173,0.731,1.227,0.671
8,1.169,0.736,1.221,0.679
9,1.163,0.741,1.223,0.679
10,1.16,0.745,1.222,0.677
11,1.158,0.747,1.215,0.684
12,1.154,0.75,1.213,0.688
13,1.149,0.756,1.21,0.695
14,1.147,0.758,1.223,0.676
15,1.144,0.762,1.212,0.69
16,1.141,0.764,1.208,0.694
17,1.138,0.768,1.208,0.693
18,1.137,0.768,1.21,0.693
19,1.135,0.771,1.204,0.699
20,1.131,0.776,1.203,0.697
