Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.235,0.67,1.196,0.704
2,1.167,0.737,1.175,0.725
3,1.152,0.752,1.169,0.733
4,1.142,0.762,1.169,0.733
5,1.133,0.772,1.159,0.741
6,1.127,0.778,1.16,0.743
7,1.121,0.783,1.157,0.743
8,1.116,0.789,1.155,0.744
9,1.109,0.796,1.152,0.748
10,1.103,0.803,1.159,0.743
11,1.099,0.807,1.157,0.742
12,1.097,0.809,1.147,0.752
13,1.094,0.812,1.154,0.747
14,1.092,0.815,1.152,0.751
15,1.09,0.816,1.15,0.751
16,1.087,0.819,1.145,0.757
17,1.085,0.821,1.145,0.76
18,1.084,0.822,1.149,0.752
19,1.081,0.824,1.154,0.746
20,1.078,0.828,1.147,0.751
