Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.269,0.636,1.204,0.697
2,1.186,0.717,1.192,0.707
3,1.173,0.73,1.178,0.729
4,1.162,0.741,1.185,0.714
5,1.154,0.749,1.173,0.729
6,1.146,0.758,1.179,0.723
7,1.14,0.763,1.172,0.727
8,1.137,0.766,1.179,0.723
9,1.132,0.772,1.165,0.737
10,1.128,0.776,1.164,0.739
11,1.126,0.779,1.169,0.734
12,1.123,0.781,1.163,0.74
13,1.123,0.782,1.166,0.734
14,1.119,0.786,1.171,0.73
15,1.118,0.787,1.164,0.74
16,1.116,0.788,1.174,0.726
17,1.114,0.79,1.157,0.746
18,1.113,0.791,1.161,0.741
19,1.112,0.792,1.159,0.744
20,1.11,0.795,1.157,0.744
