Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.318,0.581,1.296,0.597
2,1.243,0.659,1.264,0.633
3,1.232,0.669,1.259,0.64
4,1.224,0.677,1.259,0.638
5,1.216,0.686,1.248,0.655
6,1.21,0.691,1.242,0.659
7,1.205,0.697,1.241,0.66
8,1.202,0.7,1.243,0.659
9,1.197,0.705,1.243,0.655
10,1.194,0.709,1.244,0.655
11,1.19,0.713,1.235,0.667
12,1.187,0.715,1.242,0.655
13,1.184,0.719,1.236,0.665
14,1.181,0.722,1.239,0.659
15,1.178,0.725,1.239,0.657
16,1.175,0.728,1.233,0.667
17,1.172,0.733,1.229,0.67
18,1.17,0.734,1.234,0.669
19,1.167,0.737,1.232,0.669
20,1.165,0.74,1.235,0.664
