Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.289,0.612,1.27,0.631
2,1.238,0.662,1.259,0.639
3,1.226,0.675,1.261,0.64
4,1.218,0.685,1.249,0.65
5,1.212,0.69,1.243,0.658
6,1.206,0.696,1.242,0.655
7,1.2,0.703,1.244,0.655
8,1.197,0.706,1.245,0.655
9,1.191,0.712,1.241,0.66
10,1.188,0.715,1.239,0.66
11,1.184,0.72,1.233,0.671
12,1.178,0.725,1.24,0.658
13,1.176,0.727,1.236,0.664
14,1.174,0.73,1.235,0.665
15,1.171,0.733,1.231,0.673
16,1.168,0.736,1.229,0.674
17,1.164,0.741,1.229,0.674
18,1.163,0.741,1.228,0.672
19,1.161,0.744,1.226,0.676
20,1.158,0.747,1.228,0.673
