Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.268,0.639,1.209,0.696
2,1.192,0.714,1.206,0.698
3,1.178,0.728,1.196,0.707
4,1.165,0.74,1.188,0.714
5,1.151,0.755,1.177,0.725
6,1.143,0.763,1.167,0.738
7,1.135,0.771,1.167,0.736
8,1.129,0.778,1.162,0.738
9,1.125,0.781,1.158,0.745
10,1.121,0.786,1.157,0.749
11,1.118,0.788,1.159,0.746
12,1.116,0.791,1.157,0.746
13,1.113,0.795,1.155,0.748
14,1.11,0.796,1.155,0.751
15,1.109,0.798,1.152,0.751
16,1.107,0.8,1.152,0.748
17,1.104,0.802,1.151,0.753
18,1.102,0.805,1.154,0.75
19,1.101,0.807,1.153,0.75
20,1.099,0.808,1.15,0.755
