Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.568,0.291,1.557,0.311
2,1.529,0.347,1.55,0.323
3,1.514,0.363,1.539,0.333
4,1.507,0.373,1.538,0.335
5,1.503,0.375,1.538,0.336
6,1.499,0.383,1.54,0.331
7,1.495,0.387,1.532,0.343
8,1.49,0.394,1.531,0.341
9,1.484,0.402,1.532,0.346
10,1.479,0.409,1.528,0.348
11,1.474,0.414,1.528,0.354
12,1.466,0.423,1.529,0.349
13,1.46,0.431,1.519,0.36
14,1.453,0.439,1.518,0.361
15,1.446,0.446,1.513,0.372
16,1.438,0.457,1.514,0.37
17,1.431,0.463,1.511,0.372
18,1.423,0.474,1.509,0.372
19,1.416,0.482,1.508,0.376
20,1.411,0.488,1.504,0.383
