Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.521,0.357,1.485,0.401
2,1.461,0.427,1.459,0.433
3,1.434,0.459,1.442,0.449
4,1.408,0.487,1.429,0.462
5,1.394,0.504,1.416,0.479
6,1.378,0.52,1.417,0.478
7,1.366,0.533,1.404,0.487
8,1.357,0.543,1.409,0.479
9,1.347,0.553,1.399,0.497
10,1.339,0.561,1.398,0.495
11,1.331,0.57,1.39,0.503
12,1.321,0.583,1.386,0.509
13,1.313,0.592,1.383,0.511
14,1.306,0.598,1.376,0.52
15,1.299,0.605,1.372,0.524
16,1.294,0.611,1.369,0.528
17,1.288,0.617,1.372,0.524
18,1.283,0.623,1.369,0.532
19,1.278,0.629,1.366,0.532
20,1.275,0.632,1.364,0.535
