Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.234,0.674,1.186,0.716
2,1.168,0.735,1.175,0.729
3,1.154,0.75,1.174,0.73
4,1.146,0.756,1.164,0.738
5,1.137,0.767,1.159,0.741
6,1.13,0.775,1.162,0.741
7,1.126,0.778,1.157,0.745
8,1.12,0.784,1.153,0.749
9,1.117,0.788,1.149,0.755
10,1.113,0.792,1.152,0.749
11,1.109,0.796,1.161,0.743
12,1.103,0.803,1.153,0.749
13,1.101,0.805,1.159,0.742
14,1.099,0.806,1.144,0.76
15,1.097,0.809,1.144,0.758
16,1.094,0.811,1.144,0.759
17,1.092,0.814,1.145,0.757
18,1.09,0.815,1.147,0.755
19,1.089,0.817,1.142,0.761
20,1.087,0.819,1.148,0.756
