Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.285,0.618,1.248,0.657
2,1.219,0.684,1.237,0.667
3,1.205,0.699,1.233,0.665
4,1.196,0.706,1.234,0.667
5,1.191,0.712,1.225,0.679
6,1.183,0.721,1.227,0.674
7,1.178,0.725,1.221,0.681
8,1.173,0.732,1.227,0.677
9,1.169,0.735,1.22,0.681
10,1.165,0.74,1.222,0.678
11,1.161,0.742,1.225,0.678
12,1.157,0.749,1.224,0.677
13,1.154,0.751,1.213,0.689
14,1.151,0.754,1.217,0.685
15,1.147,0.758,1.212,0.69
16,1.145,0.759,1.209,0.691
17,1.141,0.765,1.214,0.686
18,1.14,0.766,1.214,0.689
19,1.138,0.768,1.212,0.689
20,1.136,0.77,1.21,0.69
